"Supplementary Table S2. Metadata of the 3,269 high quality MAGs used to benchmark the read-level specificity and sensitivity of different species classification models ",,,,,,,,,,,,,,,,,,,
MAG_ID_ENA,Completeness (%),Closest reference,Species label, Reference genome size (bp) ,Reference genome covered (%),CheckM lineage (reference),Phylum (reference),Class (reference),Order (reference),Family (reference),Genus (reference), MAG genome size (bp) ,MAG aligned to reference (%),ANI between MAG and reference (%),Mash distance between MAG and reference,Most similar reference covered (%),Reference aligned to most similar reference (%),ANI between reference and most similar reference (%),Mash distance between reference and most similar reference
MAG-GUT68785,96.13,UMGS277,1744," 3,314,146 ",79.13,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides," 3,331,175 ",78.93,97.79,0.03,0.67,0.69,96.52,0.22
MAG-GUT68810,100.00,GCF_000163735,310," 2,174,425 ",87.60,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,053,648 ",92.59,96.68,0.03,72.47,53.88,88.75,0.10
MAG-GUT68858,97.65,20287_6_22,132," 3,052,732 ",77.10,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,687,457 ",86.81,98.84,0.02,4.05,3.43,94.23,0.19
MAG-GUT68872,98.20,GCF_000163735,310," 2,174,425 ",81.48,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,932,884 ",91.54,96.48,0.03,72.47,53.88,88.75,0.10
MAG-GUT68960,98.83,GCF_000209405,341," 3,118,216 ",72.18,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus," 2,291,848 ",97.13,99.84,0.01,7.87,11.05,98.46,0.12
MAG-GUT68968,92.79,18391_1_7,130," 2,151,775 ",73.86,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 1,816,538 ",88.50,98.74,0.02,45.18,42.83,87.81,0.13
MAG-GUT68996,100.00,GCF_000186505,327," 2,965,437 ",93.72,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,831,466 ",97.62,99.93,0.00,6.20,4.51,87.03,0.21
MAG-GUT689,97.26,21673_4_22,201," 2,827,949 ",80.44,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,509,956 ",89.37,97.81,0.02,81.78,64.89,89.46,0.09
MAG-GUT69048,99.08,GCF_000273525,381," 2,216,395 ",92.53,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,182,242 ",93.94,99.11,0.01,20.25,20.81,86.78,0.16
MAG-GUT69064,100.00,GCF_001025175,476," 2,269,415 ",89.43,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,286,289 ",88.65,98.89,0.01,42.94,52.81,90.19,0.11
MAG-GUT69096,100.00,GCF_000163735,310," 2,174,425 ",82.29,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,938,508 ",92.30,96.86,0.03,72.47,53.88,88.75,0.10
MAG-GUT69113,95.81,GCF_000163735,310," 2,174,425 ",78.63,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,839,185 ",93.03,97.02,0.02,72.47,53.88,88.75,0.10
MAG-GUT69117,100.00,GCF_001025175,476," 2,269,415 ",88.22,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,258,382 ",88.46,98.98,0.01,42.94,52.81,90.19,0.11
MAG-GUT69121,98.16,GCF_001025175,476," 2,269,415 ",83.92,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,054,994 ",92.46,99.01,0.01,42.94,52.81,90.19,0.11
MAG-GUT69123,97.60,GCF_000411535,426," 2,071,607 ",81.60,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,805,570 ",93.20,97.08,0.03,76.81,73.16,89.52,0.08
MAG-GUT69144,96.73,GCF_000163735,310," 2,174,425 ",82.78,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,923,374 ",93.52,96.87,0.02,72.47,53.88,88.75,0.10
MAG-GUT69179,92.28,UMGS39,1871," 2,822,385 ",77.27,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium," 2,341,817 ",92.91,99.01,0.02,4.24,4.36,87.15,0.21
MAG-GUT69198,96.29,GCF_000163735,310," 2,174,425 ",78.16,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,846,016 ",91.78,96.83,0.03,72.47,53.88,88.75,0.10
MAG-GUT69224,99.08,GCF_001025175,476," 2,269,415 ",87.53,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,338,364 ",84.81,98.96,0.01,42.94,52.81,90.19,0.11
MAG-GUT69229,98.27,GCF_001025175,476," 2,269,415 ",85.25,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,153,908 ",90.00,99.03,0.01,42.94,52.81,90.19,0.11
MAG-GUT69244,93.96,UMGS87,2373," 1,862,956 ",87.74,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,869,895 ",87.24,98.25,0.02,56.92,57.19,85.15,0.14
MAG-GUT69253,100.00,18391_1_7,130," 2,151,775 ",84.26,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,114,344 ",85.79,98.27,0.02,45.18,42.83,87.81,0.13
MAG-GUT69285,97.32,UMGS132,900," 1,845,394 ",91.55,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,903,468 ",88.90,97.56,0.03,1.93,1.78,93.90,0.24
MAG-GUT6929,93.29,UMGS130,878," 2,803,158 ",75.72,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,241,259 ",94.12,98.56,0.02,36.54,34.52,86.50,0.15
MAG-GUT69364,90.60,UMGS39,1871," 2,822,385 ",82.53,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium," 2,464,744 ",94.28,99.03,0.01,4.24,4.36,87.15,0.21
MAG-GUT69367,95.81,GCF_000163735,310," 2,174,425 ",77.45,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,888,539 ",89.21,96.52,0.03,72.47,53.88,88.75,0.10
MAG-GUT69378,98.80,GCF_000163735,310," 2,174,425 ",82.90,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,982,224 ",90.83,96.73,0.03,72.47,53.88,88.75,0.10
MAG-GUT69384,91.08,20427_4_22,196," 1,937,209 ",73.40,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_gasseri,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus," 1,535,049 ",92.39,98.62,0.02,65.55,66.78,86.48,0.12
MAG-GUT69417,95.81,GCF_000163735,310," 2,174,425 ",83.04,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,013,282 ",89.53,96.38,0.03,72.47,53.88,88.75,0.10
MAG-GUT69432,96.20,14207_7_9,112," 3,035,220 ",77.71,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,581,910 ",91.09,99.03,0.01,26.84,26.34,89.17,0.14
MAG-GUT69434,100.00,GCF_001025175,476," 2,269,415 ",88.59,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,307,192 ",86.99,99.00,0.01,42.94,52.81,90.19,0.11
MAG-GUT69447,95.05,GCF_001025175,476," 2,269,415 ",84.34,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,103,403 ",90.84,99.06,0.01,42.94,52.81,90.19,0.11
MAG-GUT69465,96.58,GCF_000163735,310," 2,174,425 ",75.11,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,791,697 ",91.28,96.88,0.03,72.47,53.88,88.75,0.10
MAG-GUT69468,99.33,UMGS39,1871," 2,822,385 ",89.84,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium," 2,751,563 ",92.14,99.02,0.01,4.24,4.36,87.15,0.21
MAG-GUT69483,95.11,GCF_000163735,310," 2,174,425 ",81.54,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,940,822 ",91.42,96.36,0.03,72.47,53.88,88.75,0.10
MAG-GUT69501,97.30,20298_3_11,158," 2,754,334 ",86.76,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,749,667 ",86.64,99.08,0.01,2.77,2.91,85.76,0.23
MAG-GUT69551,98.20,GCF_000163735,310," 2,174,425 ",82.40,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,042,584 ",87.76,96.76,0.03,72.47,53.88,88.75,0.10
MAG-GUT6955,91.98,UMGS499,1976," 2,360,853 ",94.11,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella," 2,508,447 ",89.28,99.96,0.00,54.91,55.98,86.88,0.12
MAG-GUT69595,95.70,UMGS223,1693," 1,771,615 ",91.34,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum," 1,799,598 ",90.69,99.20,0.01,4.44,4.78,86.02,0.20
MAG-GUT69640,94.62,UMGS223,1693," 1,771,615 ",88.20,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum," 1,653,460 ",94.56,99.27,0.01,4.44,4.78,86.02,0.20
MAG-GUT69662,95.65,GCF_000186505,327," 2,965,437 ",83.98,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,642,020 ",93.94,98.12,0.02,6.20,4.51,87.03,0.21
MAG-GUT69665,92.47,UMGS223,1693," 1,771,615 ",88.47,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum," 1,701,706 ",92.94,99.36,0.01,4.44,4.78,86.02,0.20
MAG-GUT6968,92.70,UMGS499,1976," 2,360,853 ",90.64,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella," 2,438,274 ",89.11,99.97,0.01,54.91,55.98,86.88,0.12
MAG-GUT69729,96.77,UMGS65,2140," 1,783,290 ",89.35,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum," 1,729,352 ",92.41,97.18,0.03,4.24,4.01,82.96,0.26
MAG-GUT69771,95.81,GCF_000411395,422," 2,287,856 ",87.52,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_intestini,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus," 2,112,460 ",94.63,99.97,0.00,89.41,82.22,92.68,0.06
MAG-GUT69905,94.74,UMGS4,1978," 2,455,820 ",81.45,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio," 2,141,677 ",93.40,99.08,0.01,2.29,4.20,98.52,0.17
MAG-GUT6,98.67,UMGS77,2265," 1,911,898 ",88.44,k__Bacteria;p__Tenericutes;c__Mollicutes,Tenericutes,Mollicutes,Unassigned,Unassigned,Unassigned," 1,888,677 ",89.37,99.51,0.01,67.14,46.83,86.97,0.11
MAG-GUT7012,94.91,21673_4_5,211," 3,315,322 ",83.15,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2;g__Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella," 2,906,503 ",94.46,98.59,0.02,2.95,3.53,96.98,0.17
MAG-GUT70165,94.67,UMGS77,2265," 1,911,898 ",86.22,k__Bacteria;p__Tenericutes;c__Mollicutes,Tenericutes,Mollicutes,Unassigned,Unassigned,Unassigned," 1,837,499 ",89.45,99.28,0.01,67.14,46.83,86.97,0.11
MAG-GUT7016,100.00,GCF_000186505,327," 2,965,437 ",90.32,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,832,946 ",93.87,98.14,0.02,6.20,4.51,87.03,0.21
MAG-GUT70172,91.86,UMGS160,1188," 2,222,879 ",73.13,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,937,877 ",83.01,98.45,0.02,71.48,68.26,90.26,0.08
MAG-GUT70200,91.53,UMGS692,2175," 1,713,288 ",86.71,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned," 1,702,445 ",87.30,98.90,0.01,0.82,1.60,95.66,0.22
MAG-GUT7031,99.40,GCF_000411395,422," 2,287,856 ",87.40,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_intestini,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus," 2,031,648 ",97.82,99.87,0.00,89.41,82.22,92.68,0.06
MAG-GUT70404,99.25,UMGS48,1967," 2,507,716 ",99.28,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Unassigned," 2,500,085 ",99.53,99.99,0.00,48.73,46.01,85.29,0.14
MAG-GUT7040,97.11,GCF_000411395,422," 2,287,856 ",85.70,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_intestini,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus," 1,966,980 ",98.98,99.87,0.00,89.41,82.22,92.68,0.06
MAG-GUT70414,96.00,UMGS115,720," 1,637,568 ",92.22,k__Bacteria;p__Tenericutes;c__Mollicutes,Tenericutes,Mollicutes,Unassigned,Unassigned,Unassigned," 1,717,047 ",87.97,99.63,0.01,56.49,58.64,99.62,0.03
MAG-GUT7042,92.39,GCF_000186505,327," 2,965,437 ",81.20,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,665,543 ",89.79,96.79,0.04,6.20,4.51,87.03,0.21
MAG-GUT70460,92.42,UMGS611,2089," 1,246,506 ",90.08,k__Bacteria,Tenericutes,Unassigned,Unassigned,Unassigned,Unassigned," 1,215,857 ",92.14,98.80,0.01,78.54,73.61,92.79,0.06
MAG-GUT70620,97.75,UMGS154,1125," 1,631,381 ",93.86,k__Bacteria;p__Tenericutes;c__Mollicutes,Tenericutes,Mollicutes,Unassigned,Unassigned,Unassigned," 1,632,738 ",93.87,99.54,0.01,46.00,40.54,99.54,0.04
MAG-GUT7062,99.63,20298_3_11,158," 2,754,334 ",90.71,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,683,060 ",93.01,99.16,0.01,2.77,2.91,85.76,0.23
MAG-GUT70635,91.81,UMGS64,2129," 1,766,843 ",87.93,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Unassigned,Unassigned,Unassigned," 1,582,806 ",96.61,98.84,0.01,4.64,4.49,83.37,0.23
MAG-GUT7064,99.39,GCF_000010185,226," 1,986,740 ",78.60,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XI._Incertae_Sedis;g__Finegoldia;s__Finegoldia_magna,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI,Finegoldia," 1,778,473 ",87.52,97.38,0.03,3.88,3.33,93.79,0.19
MAG-GUT70664,98.50,UMGS99,2503," 1,699,832 ",91.53,k__Bacteria;p__Tenericutes;c__Mollicutes,Tenericutes,Mollicutes,Unassigned,Unassigned,Unassigned," 1,648,890 ",94.28,99.34,0.01,2.99,2.79,93.40,0.21
MAG-GUT7066,95.73,GCF_000010185,226," 1,986,740 ",75.00,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XI._Incertae_Sedis;g__Finegoldia;s__Finegoldia_magna,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI,Finegoldia," 1,624,050 ",91.51,97.36,0.03,3.88,3.33,93.79,0.19
MAG-GUT70836,97.60,21673_4_22,201," 2,827,949 ",77.84,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,425,382 ",89.63,97.83,0.02,81.78,64.89,89.46,0.09
MAG-GUT7086,99.25,20298_2_33,149," 2,847,512 ",81.88,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecium,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,644,576 ",86.78,99.47,0.01,77.86,77.88,94.64,0.05
MAG-GUT7088,100.00,GCF_000163735,310," 2,174,425 ",84.83,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,070,966 ",89.14,96.08,0.03,72.47,53.88,88.75,0.10
MAG-GUT7090,99.63,20298_3_11,158," 2,754,334 ",92.78,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,851,313 ",89.52,99.22,0.01,2.77,2.91,85.76,0.23
MAG-GUT70913,97.68,21673_4_5,211," 3,315,322 ",75.55,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2;g__Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella," 2,731,096 ",91.09,98.34,0.02,2.95,3.53,96.98,0.17
MAG-GUT70918,95.89,21673_4_22,201," 2,827,949 ",78.89,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,636,053 ",83.58,97.89,0.03,81.78,64.89,89.46,0.09
MAG-GUT7095,100.00,GCF_000163735,310," 2,174,425 ",89.97,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,102,148 ",93.10,96.49,0.03,72.47,53.88,88.75,0.10
MAG-GUT70973,94.62,UMGS148,1065," 1,916,515 ",87.13,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum," 1,743,014 ",95.74,99.02,0.01,22.41,19.21,83.79,0.20
MAG-GUT7099,100.00,GCF_000163735,310," 2,174,425 ",89.97,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,102,846 ",93.10,96.48,0.03,72.47,53.88,88.75,0.10
MAG-GUT7102,99.63,20298_3_11,158," 2,754,334 ",92.63,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,874,265 ",88.61,99.22,0.01,2.77,2.91,85.76,0.23
MAG-GUT71042,98.63,21673_4_22,201," 2,827,949 ",79.24,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,562,024 ",86.75,97.87,0.02,81.78,64.89,89.46,0.09
MAG-GUT7105,100.00,GCF_000163735,310," 2,174,425 ",89.95,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,101,303 ",93.09,96.50,0.03,72.47,53.88,88.75,0.10
MAG-GUT71084,90.78,UMGS116,731," 1,762,340 ",88.87,k__Bacteria;p__Tenericutes;c__Mollicutes,Tenericutes,Mollicutes,Unassigned,Unassigned,Unassigned," 1,792,288 ",87.12,99.66,0.01,89.20,83.16,90.81,0.09
MAG-GUT7112,100.00,GCF_000163735,310," 2,174,425 ",87.94,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,057,249 ",93.02,96.56,0.03,72.47,53.88,88.75,0.10
MAG-GUT71140,95.97,UMGS87,2373," 1,862,956 ",95.57,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,893,214 ",93.81,99.77,0.00,56.92,57.19,85.15,0.14
MAG-GUT71156,97.26,21673_4_22,201," 2,827,949 ",80.41,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,577,248 ",87.47,97.90,0.02,81.78,64.89,89.46,0.09
